"26","6","1","Packington House and Cottage","Bickersteth Road","","","RG 12/460","35
"
"26","6","594","Putney High Street","","","Fairfax Terrace, Putney High Street, 1-12","RG 12/452","6-8
"
"26","6","595","Putney High Street","","","Parsons Yard, Putney High Street, 1-3","RG 12/452","19
"
"26","6","596","Putney High Street","","","Pepper Alley","RG 12/452","19
"
"26","6","597","Putney High Street","","","Post Office, Putney High Street, 111","RG 12/452","9
"
"26","6","598","Putney High Street","","","Putney Bridge Parade 1-11","RG 12/452","15-16
"
"26","6","599","Putney High Street","","","Railway Hotel, Putney High Street","RG 12/452","10
"
"26","6","600","Putney High Street","","","Russell Cottage pound Place, Putney High Street, 1-4","RG 12/452","20
"
"26","6","601","Putney High Street","","","Salisbury Pavement 9-16","RG 12/452","10-11
"
"26","6","602","Putney High Street","","","Spencer Pavement 1-3","RG 12/452","13-14
"
"26","6","603","Putney High Street","","","Spotted Horse Hotel, Putney High Street","RG 12/452","12
"
"26","6","604","Putney High Street","","","Tokenhouse Yard, Putney High Street","RG 12/452","20
"
"26","6","605","Putney High Street","","","White Lion Hotel, Putney High Street","RG 12/452","16
"
"26","6","606","Putney High Street","","","Wiggins Court 1-4","RG 12/452","20
"
"26","6","607","Putney High Street","","110-136 even not built?","138-152 even","RG 12/452","10
"
"26","6","608","Putney High Street","","2-18 even demolished for Railway?","20-68 even","RG 12/452","14-15
"
"26","6","609","Putney Hill and Putney Hill Park","East Side:","","Broughton Lodge, Putney Hill and Putney Hill Park","RG 12/453","112
"
"26","6","610","Putney Hill and Putney Hill Park","East Side:","","Garryowen, Putney Hill and Putney Hill Park","RG 12/453","108
"
"26","6","611","Putney Hill and Putney Hill Park","East Side:","","Hazeldean, Putney Hill and Putney Hill Park","RG 12/453","122
"
"26","6","612","Putney Hill and Putney Hill Park","East Side:","","Heathcroft, Putney Hill and Putney Hill Park","RG 12/453","122
"
"26","6","613","Putney Hill and Putney Hill Park","East Side:","","Hillside, Putney Hill and Putney Hill Park","RG 12/453","111
"
"26","6","614","Putney Hill and Putney Hill Park","East Side:","","Holmleigh, Putney Hill and Putney Hill Park","RG 12/453","121
"
"26","6","615","Putney Hill and Putney Hill Park","East Side:","","Homefield, Putney Hill and Putney Hill Park","RG 12/453","120
"
"26","6","616","Putney Hill and Putney Hill Park","East Side:","","Pitlochry, Putney Hill and Putney Hill Park","RG 12/453","122
"
"26","6","617","Putney Hill and Putney Hill Park","East Side:","","Royston, Putney Hill and Putney Hill Park","RG 12/453","122
"
"26","6","618","Putney Hill and Putney Hill Park","East Side:","","St Johns, Putney Hill and Putney Hill Park","RG 12/453","111
"
"26","6","619","Putney Hill and Putney Hill Park","East Side:","","St Lawrence, Putney Hill and Putney Hill Park","RG 12/453","111
"
"26","6","620","Putney Hill and Putney Hill Park","East Side:","","Seekford, Putney Hill and Putney Hill Park","RG 12/453","122
"
"26","6","621","Putney Hill and Putney Hill Park","East Side:","","The Bosquet, Putney Hill and Putney Hill Park","RG 12/453","111
"
"26","6","622","Putney Hill and Putney Hill Park","East Side:","","The Elms, Putney Hill and Putney Hill Park","RG 12/453","121
"
"26","6","623","Putney Hill and Putney Hill Park","East Side:","","The Pines 1-2","RG 12/453","108
"
"26","6","624","Putney Hill and Putney Hill Park","East Side:","","Villa Marquiso","RG 12/453","108
"
"26","6","625","Putney Hill and Putney Hill Park","East Side:","","Westfield, Putney Hill and Putney Hill Park","RG 12/453","111
"
"26","6","626","Putney Hill and Putney Hill Park","East Side:","","Westhaye, Putney Hill and Putney Hill Park","RG 12/453","121
"
"26","6","627","Putney Hill and Putney Hill Park","West Side","","1-12, 15","RG 12/453","131-132
"
"26","6","628","Putney Hill and Putney Hill Park","West Side","","Benblair, Putney Hill and Putney Hill Park","RG 12/453","128
"
"26","6","629","Putney Hill and Putney Hill Park","West Side","","Gatesbury, Putney Hill and Putney Hill Park","RG 12/453","131
"
"26","6","630","Putney Hill and Putney Hill Park","West Side","","Kimberley, Putney Hill and Putney Hill Park","RG 12/453","131
"
"26","6","631","Putney Hill and Putney Hill Park","West Side","","Lower Park House, Putney Hill and Putney Hill Park","RG 12/453","127-128
"
"26","6","632","Putney Hill and Putney Hill Park","West Side","","Park 4, 9","RG 12/453","128
"
"26","6","633","Putney Hill and Putney Hill Park,","East Side:","","Arkindale, Putney Hill and Putney Hill Park,","RG 12/453","122
"
"26","6","634","Putney Lower Common","","","Cemetery Lodge, Putney Lower Common","RG 12/452","181
"
"26","6","635","Putney Lower Common","","","Charlwood Cottages, Putney Lower Common, 1-2","RG 12/452","161
"
"26","6","636","Putney Lower Common","","","Elm Lodge, Putney Lower Common","RG 12/452","181
"
"26","6","637","Putney Lower Common","","","Ivy Cottage, Putney Lower Common","RG 12/452","177
"
"26","6","638","Putney Lower Common","","","Labourers Cottages, Putney Lower Common, 1-21","RG 12/452","178-181
"
"26","6","639","Putney Lower Common","","","Langshaw Lodge, Putney Lower Common","RG 12/452","177
"
"26","6","640","Putney Lower Common","","","Lilac Cottage, Putney Lower Common","RG 12/452","181
"
"26","6","641","Putney Lower Common","","","Putney, Putney Lower Common","RG 12/452","161, 177-181
"
"26","6","642","Putney Lower Common","","","Roberts Laundry, Putney Lower Common, 1-2","RG 12/452","177
"
"26","6","643","Putney Lower Common","","","Rose Cottage, Putney Lower Common","RG 12/452","177
"
"26","6","644","Putney Lower Common","","","Saddlers Buildings, Putney Lower Common, 1-10","RG 12/452","178
"
"26","6","645","Putney Lower Common","","","Schoolhouse and Springfield Dairy, Putney Lower Common","RG 12/452","161
"
"26","6","646","Putney Lower Common","","","Spencers Cottages, Putney Lower Common, 2-4","RG 12/452","161
"
"26","6","647","Putney Lower Common","","","Spencers Villas, Putney Lower Common, 1-3","RG 12/452","161
"
"26","6","648","Putney Lower Common","","","Stewarts Cottages, Putney Lower Common, 1-4","RG 12/452","177-178
"
"26","6","649","Putney Lower Common","","","Vine Cottage, Putney Lower Common","RG 12/452","177
"
"26","6","650","Putney Lower Common","","","Wallers Cottages, Putney Lower Common, 1-4","RG 12/452","181
"
"26","6","651","Putney Lower Common","","","West Lodge, Putney Lower Common","RG 12/452","181
"
"26","6","652","Putney Lower Common","","","Wooden House, Putney Lower Common","RG 12/452","177
"
"26","6","653","Putney Lower Common,","","","Bellevue Cottage, Putney Lower Common,","RG 12/452","177
"
"26","6","654","Putney Park Avenue,","Upper Richmond Road","","","RG 12/453","101-102
"
"26","6","655","Putney Park Avenue,","Upper Richmond Road","","Gardeners Cottage, Putney Park Avenue,","RG 12/453","101
"
"26","6","656","Putney Park Lane","","","Dover House Stables, Putney Park Lane","RG 12/453","136
"
"26","6","657","Putney Park Lane","","","Granard, Putney Park Lane","RG 12/453","137
"
"26","6","658","Putney Park Lane","","","Granard Nursery, Putney Park Lane","RG 12/453","137
"
"26","6","659","Putney Park Lane","","","North Lodge, Putney Park Lane","RG 12/453","101
"
"26","6","660","Putney Park Lane","","","Putney Park House and Stables, Putney Park Lane","RG 12/453","101-102
"
"26","6","661","Putney Park Lane","","","Putney Park Lodge, Putney Park Lane","RG 12/453","69
"
"26","6","662","Putney Park Lane","","","Solna, Putney Park Lane","RG 12/453","136-137
"
"26","6","663","Putney Park Lane","","","South Lodge, Putney Park Lane","RG 12/453","136
"
"26","6","664","Putney Vale","","see West Hill, Kingston Road","","",""
"26","6","665","Queen Anne Terrace","Albert Bridge Road","","2-18","RG 12/420","119-121
"
"26","6","666","Queen Anns Villas","Lucien Road","","1","RG 12/460","18
"
"26","6","667","Queens Crescent","Queens Road, Battersea","","1-21","RG 12/423","20-21
"
"26","6","668","Queens Crescent","Queens Road, Battersea","","20-29","RG 12/424","89-90
"
"26","6","669","Queens Crescent","Queens Road, Battersea","","Railway Cottage, Queens Crescent","RG 12/424","90
"
"26","6","670","Queens Parade","Lavender Hill","(Shakespeare)","6-32","RG 12/433","83-85
"
"26","6","671","Queens Parade","Streatham High Road","(Shakespeare)","1-7","RG 12/457","5
"
"26","6","672","Queens Park Gardens","Streatham High Road","","1-6","RG 12/458","38-39
"
"26","6","673","Queens Park Gardens","Streatham High Road","","7-8","RG 12/457","82
"
"26","6","674","Queens Place","Wandsworth Road","","1-5 odd","RG 12/440","183
"
"26","6","675","Queens Place","Wandsworth Road","","2-4 even","RG 12/440","183-184
"
"26","6","676","Queens Place","Wandsworth Road","","6-11","RG 12/440","183
"
"26","6","677","Queens Road","Battersea","East Side","1-21","RG 12/423","20-21
"
"26","6","678","Queens Road","Battersea","East Side","Builders Yard, Queens Road","RG 12/424","98
"
"26","6","679","Queens Road","Battersea","East Side","Cedar Terrace, Queens Road, 14-24","RG 12/424","100-101
"
"26","6","680","Queens Road","Battersea","East Side","East Terrace, Queens Road","RG 12/423","21-23
"
"26","6","681","Queens Road","Battersea","East Side","Fairlight, Queens Road","RG 12/424","99-100
"
"26","6","682","Queens Road","Battersea","East Side","Longhedge House, Queens Road","RG 12/424","98
"
"26","6","683","Queens Road","Battersea","East Side","Queens Road Villas, Queens Road","RG 12/424","99-100
"
"26","6","684","Queens Road","Battersea","East Side","Railway Arch","RG 12/424","98
"
"26","6","685","Queens Road","Battersea","East Side","The Villas, Queens Road, 1-10","RG 12/424","99-100
"
"26","6","686","Queens Road","Battersea","East Side","Victoria Terrace and Tavern, Queens Road, 2","RG 12/424","98-99
"
"26","6","687","Queens Road","Battersea","East Side","Waterworks Premises, Queens Road","RG 12/423","21
"
"26","6","688","Queens Road","Battersea","West Side","Brook Terrace, Queens Road","RG 12/424","97-98
"
"26","6","689","Queens Road","Battersea","West Side","Cedars Terrace, Queens Road, 1-13","RG 12/440","108-109
"
"26","6","690","Queens Road","Battersea","West Side","Church Terrace, Queens Road","RG 12/424","94-95
"
"26","6","691","Queens Road","Battersea","West Side","Fairleigh, Queens Road","RG 12/424","98
"
"26","6","692","Queens Road","Battersea","West Side","Hartington Terrace, Queens Road","RG 12/424","95-97
"
"26","6","693","Queens Road","Battersea","West Side","Queens Crescent 20-29","RG 12/424","89-90
"
"26","6","694","Queens Road","Battersea","West Side","Queens Terrace, Queens Road, 1-13","RG 12/440","108
"
"26","6","695","Queens Road","Battersea","West Side","Railway Cottage, Queens Road","RG 12/424","90-94
"
"26","6","696","Queens Road","Battersea","West Side","Victoria House, Queens Road","RG 12/424","95
"
"26","6","697","Queens Road","Battersea","West Side","Victoria Place, Queens Road","RG 12/424","90-94
"
"26","6","698","Queens Square","Queens Road, Battersea","Part becomes part of Philip Street later","1-22","RG 12/424","56-59
"
"26","6","699","Quill Lane","","","1-5","RG 12/453","27-29
"
"26","6","700","Quill Lane","","","Cardinal Place, Quill Lane, 1-8","RG 12/453","28-29
"
"26","6","701","Quill Lane","","","Charlwood Lodge, Quill Lane","RG 12/453","28
"
"26","6","702","Quill Lane","","","Clyde House, Quill Lane","RG 12/453","28
"
"26","6","703","Quill Lane","","","Providence Cottage, Quill Lane","RG 12/453","28
"
"26","6","704","Quill Lane","","","Quill Cottages, Quill Lane, 1-2","RG 12/453","27
"
"26","6","705","Quill Lane","","","Trafalgar House, Quill Lane","RG 12/453","28
"
"26","6","706","Quill Lane","","","West House & Cottage, Quill Lane","RG 12/453","28
"
"26","6","707","Radstock Street","","","","RG 12/420","7-10
"
"26","6","708","Railway Arch","Battersea High Street","","","RG 12/430","44
"
"26","6","709","Railway Arch","Clapham High Street","","634","RG 12/442","48
"
"26","6","710","Railway Arch","Queens Road","","","RG 12/424","98
"
"26","6","711","Railway Cottages","Heathfield Road","","","RG 12/450","75-76
"
"26","6","712","Railway Cottages","Queens Road, Battersea","","","RG 12/424","90
"
"26","6","713","Railway Cottages","Sheldrick Street (or Heathfield),","","1-6","RG 12/426","93
"
"26","6","714","Railway Stations","","","Balham High Road Station Masters House, Railway Stations","RG 12/455","27
"
"26","6","715","Railway Stations","","","Battersea Park Road","RG 12/423","90
"
"26","6","716","Railway Stations","","","Clapham Junction, Station Masters House, Prested Road","RG 12/434","135
"
"26","6","717","Railway Stations","","","Clapham and Station Hotel, Railway Stations","RG 12/442","47-48
"
"26","6","718","Railway Stations","","","Goods Station Nine Elms","RG 12/425","90
"
"26","6","719","Railway Stations","","","Southfields Station House, Railway Stations","RG 12/446","116
"
"26","6","720","Railway Stations","","","Station Masters House, Wandsworth Common Station, Railway Stations","RG 12/439","6
"
"26","6","721","Railway Stations","","","Streatham Common Station, Ellison Road","RG 12/457","125
"
"26","6","722","Railway Stations","","","Streatham Station Masters House, Streatham High Road","RG 12/456","95
"
"26","6","723","Railway Stations","","","Wandsworth Road","RG 12/441","80
"
"26","6","724","Railway Terrace","Garratt Lane","","1-6","RG 12/449","4
"
"26","6","725","Railway Terrace","Streatham High Road","","1-4","RG 12/457","5-6
"
"26","6","726","Raleigh Road","Putney Bridge Road","Later called Merivale Road","1-11 odd","RG 12/452","52
"
"26","6","727","Ram Square","Red Lion Street","","1-47 odd","RG 12/447","18-20
"
"26","6","728","Ram Square","Red Lion Street","","2-30 even","RG 12/447","21-22
"
"26","6","729","Ram Square","Red Lion Street","","38-48A even","RG 12/447","20
"
"26","6","730","Ram Square","Red Lion Street","","48-50","RG 12/447","21
"
"26","6","731","Ramleigh Villas","Langroyd Road","","1-2","RG 12/454","74
"
"26","6","732","Ramsden Road","Balham High Road, Clapham","","91-173 odd","RG 12/444","121-123
"
"26","6","733","Ramsden Road","Balham High Road, Clapham","","98-186 even","RG 12/444","123-127
"
"26","6","734","Ramsden Road","Streatham","","1-90 consecutive, 92-96 even","RG 12/454","130-137
"
"26","6","735","Randall Street","Hyde Lane Battersea","","1-25 odd","RG 12/429","93-95
"
"26","6","736","Randall Street","Hyde Lane Battersea","","2-48 even","RG 12/429","95-97
"
"26","6","737","Randall Street","Hyde Lane Battersea","","Randall Cottage, Randall Street","RG 12/429","97
"
"26","6","738","Randoplh Buildings","Coopers Arms Lane","","1-5","RG 12/453","22-23
"
"26","6","739","Ranmere Street","Ormelley Road, Streatham","","1-17 odd mixed","RG 12/455","63-64
"
"26","6","740","Ranmere Street","Ormelley Road, Streatham","","2-20 even","RG 12/455","64
"
"26","6","741","Rashleigh Street","Heath Road, Clapham","","1-23 odd","RG 12/440","134-137
"
"26","6","742","Rashleigh Street","Heath Road, Clapham","","2-32 even","RG 12/440","137-140
"
"26","6","743","Ravenna Road","Upper Richmond Road Putney","","1-13","RG 12/453","87-88
"
"26","6","744","Ravenswood Place","Balham High Road","","1-4","RG 12/456","30
"
"26","6","745","Ravenswood Road","Balham High Road, Streatham","","1-65 odd","RG 12/456","7-10
"
"26","6","746","Ravenswood Road","Balham High Road, Streatham","","6-66 even","RG 12/456","21-24
"
"26","6","747","Rayleigh Villas","part of Beamish Road","","","RG 12/452","124
"
"26","6","748","Rayners Road","Carlton Road, Putney","","Ardkeen Lodge, Rayners Road","RG 12/453","113
"
"26","6","749","Rayners Road","Carlton Road, Putney","","Asby Lodge & Stables, Rayners Road","RG 12/453","113
"
"26","6","750","Rayners Road","Carlton Road, Putney","","Rathfern, Rayners Road","RG 12/453","113
"
"26","6","751","Rayners Road","Carlton Road, Putney","","St Johns Stables, Rayners Road","RG 12/453","113
"
"26","6","752","Raywood Street","Gladstone Terrace, Battersea","","1-23 odd","RG 12/423","53-55
"
"26","6","753","Raywood Street","Gladstone Terrace, Battersea","","2-34 even","RG 12/423","55-58
"
"26","6","754","Recovery Street","Tooting High Street","","1-21","RG 12/459","120-122
"
"26","6","755","Rectory Gardens","Rectory Grove","","1-29 odd","RG 12/442","65-67
"
"26","6","756","Rectory Gardens","Rectory Grove","","2-10 even","RG 12/442","67
"
"26","6","757","Rectory Grove","Clapham Old Town","","1-39 odd","RG 12/442","70-71
"
"26","6","758","Rectory Grove","Clapham Old Town","","2-28 even","RG 12/441","23-25
"
"26","6","759","Rectory Grove","Clapham Old Town","","27-39 odd","RG 12/442","84
"
"26","6","760","Rectory Grove","Clapham Old Town","","30-54 even","RG 12/442","68
"
"26","6","761","Rectory Grove","Clapham Old Town","","32-38 even","RG 12/442","64-65
"
"26","6","762","Rectory Grove","Clapham Old Town","","Belgrave House, Rectory Grove","RG 12/441","25
"
"26","6","763","Rectory Grove","Clapham Old Town","","Cambrian House, Rectory Grove","RG 12/441","25
"
"26","6","764","Rectory Grove","Clapham Old Town","","Cannon House, Rectory Grove","RG 12/441","25
"
"26","6","765","Rectory Grove","Clapham Old Town","","Esk House, Rectory Grove","RG 12/441","25
"
"26","6","766","Rectory Grove","Clapham Old Town","","Fairlight, Rectory Grove","RG 12/441","24
"
"26","6","767","Rectory Grove","Clapham Old Town","","Grove Cottage, Rectory Grove","RG 12/442","65
"
"26","6","768","Rectory Grove","Clapham Old Town","","Rectory Gardens 1-29 odd","RG 12/442","65-67
"
"26","6","769","Rectory Grove","Clapham Old Town","","Rectory Gardens 2-10 even","RG 12/442","67
"
"26","6","770","Rectory Grove","Clapham Old Town","","Sycamore Cottage, Rectory Grove, 32","RG 12/442","65
"
"26","6","771","Rectory Grove","Clapham Old Town","","The Parsonage, Rectory Grove","RG 12/441","24
"
"26","6","772","Red Lion Street","Wandsworth High Street","","1-23 odd","RG 12/447","13-14
"
"26","6","773","Red Lion Street","Wandsworth High Street","","2-34 even","RG 12/447","11-13
"
"26","6","774","Red Lion Street","Wandsworth High Street","","31-45 odd","RG 12/447","14
"
"26","6","775","Red Lion Street","Wandsworth High Street","","Red Lion Public House and 25, 40","RG 12/447","14
"
"26","6","776","Red Lion Yard","Wandsworth High Street","Should be Square","1-5","RG 12/445","134
"
"26","6","777","Redgrave Villas","Victoria Road","","1-18","RG 12/453","49-51
"
"26","6","778","Renshaw Street","Nursery Street, Clapham","","1-11 odd","RG 12/440","117-118
"
"26","6","779","Renshaw Street","Nursery Street, Clapham","","2-16 even","RG 12/440","118-119
"
"26","6","780","Richmond Villas","Eglantine Road","","1-4","RG 12/450","102-103
"
"26","6","781","Richmond Villas","Trevelyan Road","","","RG 12/460","57
"
"26","6","782","Ridgmount Road","St Annes Hill","","1-10","RG 12/450","85-86
"
"26","6","783","Riggindale Road","Mitcham Lane, Streatham","","11","RG 12/456","114
"
"26","6","784","Riggindale Road","Mitcham Lane, Streatham","","16, 20","RG 12/456","115
"
"26","6","785","Riggindale Road","Mitcham Lane, Streatham","","Ballygorme, Riggindale Road","RG 12/456","115
"
"26","6","786","Riggindale Road","Mitcham Lane, Streatham","","Blencoe, Riggindale Road","RG 12/456","115
"
"26","6","787","Riggindale Road","Mitcham Lane, Streatham","","Christwell, Riggindale Road","RG 12/456","114
"
"26","6","788","Riggindale Road","Mitcham Lane, Streatham","","Chudleigh, Riggindale Road","RG 12/456","115-116
"
"26","6","789","Riggindale Road","Mitcham Lane, Streatham","","Comberton, Riggindale Road","RG 12/456","116
"
"26","6","790","Riggindale Road","Mitcham Lane, Streatham","","Coniston, Riggindale Road","RG 12/456","115
"
"26","6","791","Riggindale Road","Mitcham Lane, Streatham","","Eglantine, Riggindale Road","RG 12/456","114
"
"26","6","792","Riggindale Road","Mitcham Lane, Streatham","","Espringett, Riggindale Road","RG 12/456","114
"
"26","6","793","Riggindale Road","Mitcham Lane, Streatham","","Fairlight, Riggindale Road","RG 12/456","113
"
"26","6","794","Riggindale Road","Mitcham Lane, Streatham","","Fernbank, Riggindale Road","RG 12/456","114
"
"26","6","795","Riggindale Road","Mitcham Lane, Streatham","","Fernlea, Riggindale Road","RG 12/456","115
"
"26","6","796","Riggindale Road","Mitcham Lane, Streatham","","Glenmeay, Riggindale Road","RG 12/456","116
"
"26","6","797","Riggindale Road","Mitcham Lane, Streatham","","Grassmere, Riggindale Road","RG 12/456","115
"
"26","6","798","Riggindale Road","Mitcham Lane, Streatham","","Holden, Riggindale Road","RG 12/456","114
"
"26","6","799","Riggindale Road","Mitcham Lane, Streatham","","Holmeleigh, Riggindale Road","RG 12/456","113-114
"
"26","6","800","Riggindale Road","Mitcham Lane, Streatham","","Lingfield, Riggindale Road","RG 12/456","114
"
"26","6","801","Riggindale Road","Mitcham Lane, Streatham","","Loadire, Riggindale Road","RG 12/456","115
"
"26","6","802","Riggindale Road","Mitcham Lane, Streatham","","Tendring, Riggindale Road","RG 12/456","114
"
"26","6","803","Riggindale Road","Mitcham Lane, Streatham","","The Benizers, Riggindale Road","RG 12/456","114
"
"26","6","804","Riggindale Road","Mitcham Lane, Streatham","","The Holt, Riggindale Road","RG 12/456","114
"
"26","6","805","Riggindale Road","Mitcham Lane, Streatham","","Thorpe, Riggindale Road","RG 12/456","116
"
"26","6","806","Riggindale Road","Mitcham Lane, Streatham","","Waveney, Riggindale Road","RG 12/456","115
"
"26","6","807","Riggindale Road","Mitcham Lane, Streatham","","Windermere, Riggindale Road","RG 12/456","114
"
"26","6","808","Riggindale Road","Mitcham Lane, Streatham","","Woodstock, Riggindale Road","RG 12/456","116
"
"26","6","809","Riggindale Road","Mitcham Lane, Streatham","","Woodville, Riggindale Road","RG 12/456","115
"
"26","6","810","Ringford Road","West Hill","","1-79 odd","RG 12/446","7-9
"
"26","6","811","Ringford Road","West Hill","","4-90 even","RG 12/446","9-13
"
"26","6","812","River Street","The Platt Putney","","1-14","RG 12/452","135-136
"
"26","6","813","River Street","The Platt Putney","","Mews Cottage, River Street, 14","RG 12/452","136
"
"26","6","814","River View","Lower Richmond Road","","1-2","RG 12/452","144
"
"26","6","815","Riverside","Putney Embankment","","Field Villa, Riverside","RG 12/452","147
"
"26","6","816","Riverside","Putney Embankment","","Halfmoon Cricket Ground","RG 12/452","147
"
"26","6","817","Riverside","Putney Embankment","","London Rowing Club","RG 12/452","144
"
"26","6","818","Riverside","Putney Embankment","","Putney, Riverside","RG 12/452","144
"
"26","6","819","Riverside","Putney Embankment","","Thames Rowing Club","RG 12/452","144
"
"26","6","820","Riverside","Putney Embankment","","University Boathouse, Riverside","RG 12/452","144
"
"26","6","821","Riverside","Putney Embankment","","Wooden Shed","RG 12/452","147
"
"26","6","822","Robertson Street","East, Battersea","","1-49","RG 12/424","32-39
"
"26","6","823","Robertson Street","Queens Road, West, Battersea","","2-71, 74-80 mixed","RG 12/424","17-28
"
"26","6","824","Robertson Street","Queens Road, West, Battersea","","Bakers Buildings, Robertson Street , 1-7","RG 12/424","16-17
"
"26","6","825","Robinson Yard","Hazelhurst Road","","1-3","RG 12/454","11-12
"
"26","6","826","Robinson Yard","Hazelhurst Road","","Bell Cottage, Robinson Yard","RG 12/454","11
"
"26","6","827","Rockwood Villas","Lower Richmond Road","","1-2","RG 12/452","146
"
"26","6","828","Rodney Terrace","Lower Richmond Road","","1-28","RG 12/452","150-152
"
"26","6","829","Roehampton Gate Lodge","Priory Lane","","","RG 12/453","140
"
"26","6","830","Roehampton High Street","","","1-13","RG 12/453","143-144
"
"26","6","831","Roehampton High Street","","","15, 16","RG 12/453","147
"
"26","6","832","Roehampton High Street","","","Angel Inn","RG 12/453","147
"
"26","6","833","Roehampton High Street","","","Angle Court 1","RG 12/453","147
"
"26","6","834","Roehampton High Street","","","Angle Yard, Roehampton High Street, 1-2","RG 12/453","147
"
"26","6","835","Roehampton High Street","","","Ilpha House, Roehampton High Street","RG 12/453","147
"
"26","6","836","Roehampton High Street","","","Kings Head Public House, Roehampton High Street","RG 12/453","147-148
"
"26","6","837","Roehampton High Street","","","Park Terrace, Roehampton High Street, 1-2","RG 12/453","144
"
"26","6","838","Roehampton High Street","","","Prospect Cottages, Roehampton High Street, 1-9","RG 12/453","146
"
"26","6","839","Roehampton High Street","","","Prospect Place, Roehampton High Street","RG 12/453","146
"
"26","6","840","Roehampton High Street","","","Roxburgh House, Roehampton High Street","RG 12/453","147
"
"26","6","841","Roehampton High Street","","","St Marys Convent and Orphanage, Roehampton High Street","RG 12/453","144-145
"
"26","6","842","Roehampton High Street","","","Spencer Lodge, Roehampton High Street","RG 12/453","145-146
"
"26","6","843","Roehampton High Street","","","The Alley 1-4","RG 12/453","145
"
"26","6","844","Roehampton High Street","","","Tweedside Cottages, Roehampton High Street, 1-3","RG 12/453","146-147
"
"26","6","845","Roehampton High Street","","","York Terrace, Roehampton High Street","RG 12/453","144
"
"26","6","846","Roehampton House & Lodge","Roehampton Lane","","","RG 12/453","142
"
"26","6","847","Roehampton House & Lodge","Upper Richmond Road","","","RG 12/453","137
"
"26","6","848","Roehampton Lane","Upper Richmond Road Roehampton","","Avoca Lodge, Roehampton Lane","RG 12/453","143
"
"26","6","849","Roehampton Lane","Upper Richmond Road Roehampton","","Cedar Court","RG 12/453","142-143
"
"26","6","850","Roehampton Lane","Upper Richmond Road Roehampton","","Convent Farm pound Cottage, Roehampton Lane","RG 12/453","141
"
"26","6","851","Roehampton Lane","Upper Richmond Road Roehampton","","Convent and School, Roehampton Lane","RG 12/453","176-181
"
"26","6","852","Roehampton Lane","Upper Richmond Road Roehampton","","Devonshire House pound Lodge, Roehampton Lane","RG 12/453","143
"
"26","6","853","Roehampton Lane","Upper Richmond Road Roehampton","","Ellenboro House, Roehampton Lane","RG 12/453","141
"
"26","6","854","Roehampton Lane","Upper Richmond Road Roehampton","","Lower Grove House pound Lodge, Roehampton Lane","RG 12/453","141
"
"26","6","855","Roehampton Lane","Upper Richmond Road Roehampton","","Manresa House, Lodge, Gardens and Laundry, Roehampton Lane","RG 12/453","148
"
"26","6","856","Roehampton Lane","Upper Richmond Road Roehampton","","Manresa School, Roehampton Lane","RG 12/452","172-175
"
"26","6","857","Roehampton Lane","Upper Richmond Road Roehampton","","Roehampton House pound Lodge, Roehampton Lane","RG 12/453","142
"
"26","6","858","Roehampton Lane","Upper Richmond Road Roehampton","","Rookery Lodge, Roehampton Lane","RG 12/453","141-142
"
"26","6","859","Roehampton Lane","Upper Richmond Road Roehampton","","Subico Lodge, Roehampton Lane","RG 12/453","141
"
"26","6","860","Roehampton Lane","Upper Richmond Road Roehampton","","Thatch Cottage, Roehampton Lane","RG 12/453","141
"
"26","6","861","Roehampton Lane","Upper Richmond Road Roehampton","","Upper Grove House, Roehampton Lane","RG 12/453","140-141
"
"26","6","862","Roehampton Lane","Upper Richmond Road Roehampton","Remainder entered as Park Road","","",""
"26","6","863","Roland Villa","Longley Road","","1","RG 12/460","69
"
"26","6","864","Rollo Street","Battersea Park Road","","1-69 odd","RG 12/422","104-110
"
"26","6","865","Rollo Street","Battersea Park Road","","2-48 even","RG 12/422","110-114
"
"26","6","866","Rollo Street","Battersea Park Road","","50-54 even","RG 12/422","72-73
"
"26","6","867","Rollo Street","Battersea Park Road","","Part, Rollo Street, 28","RG 12/422","119
"
"26","6","868","Rollo Street","Battersea Park Road","","Rollo Cottage, Rollo Street","RG 12/422","110
"
"26","6","869","Romberg Road","Tooting Bec Road","","1-34","RG 12/454","117-120
"
"26","6","870","Romberg Road","Tooting Bec Road","","Rose Villas, Romberg Road","RG 12/454","119-120
"
"26","6","871","Rookery, The","Clapham Common South","","1-10","RG 12/444","62-63
"
"26","6","872","Rookstone Terrace","part of Mitcham Road","","","RG 12/460","41
"
"26","6","873","Rose Cottages","Althorpe Road","","","RG 12/438","157
"
"26","6","874","Rose Cottages","Coopers Arms Lane","","","RG 12/453","20
"
"26","6","875","Rose Cottages","Fullerton Road","","","RG 12/448","21
"
"26","6","876","Rose Cottages","Garratt Lane","","","RG 12/449","37
"
"26","6","877","Rose Cottages","Green Lane","","","RG 12/430","51
"
"26","6","878","Rose Cottages","Howards Lane","","","RG 12/453","94
"
"26","6","879","Rose Cottages","Lammermoor Road","","1-3","RG 12/456","11-12
"
"26","6","880","Rose Cottages","Lower Barnes Common","","","RG 12/452","177
"
"26","6","881","Rose Cottages","Putney Hill","","","RG 12/453","125
"
"26","6","882","Rose Cottages","Simpson Street","","35A","RG 12/431","113
"
"26","6","883","Rose Cottages","Streatham High Road","","","RG 12/457","1
"
"26","6","884","Rose Cottages","Streatham High Road","","","RG 12/458","13
"
